order_id,customer_id,order_date,city,payment_method,order_status,discount,shipping_cost
36,3536,2024-06-02,Delhi,COD,Delivered,20,79
37,809,2025-01-28,Delhi,UPI,Delivered,15,79
38,3460,2023-10-26,Delhi,UPI,Delivered,10,79
39,1384,2023-01-02,Jaipur,Net Banking,Delivered,0,0
40,4052,2025-08-31,Bengaluru,UPI,Delivered,10,0
41,2461,2025-11-09,Bengaluru,Net Banking,Delivered,20,0
42,3783,2023-05-06,Pune,Net Banking,Delivered,10,0
43,4208,2024-12-14,Indore,Net Banking,Delivered,15,99
44,601,2024-03-13,Indore,UPI,Delivered,10,49
45,3342,2024-03-20,Mumbai,COD,Delivered,15,79
46,4901,2023-04-13,Lucknow,UPI,Delivered,5,0
47,1616,2025-11-23,Chandigarh,Net Banking,Delivered,10,99
48,233,2025-07-12,Jaipur,UPI,Delivered,20,79
49,2077,2023-03-18,Mumbai,UPI,Delivered,5,99
50,1755,2024-02-23,Lucknow,COD,Delivered,15,0
51,3598,2025-01-19,Indore,COD,Delivered,20,99
52,1146,2025-08-20,Pune,Net Banking,Delivered,15,99
53,3364,2024-02-18,Mumbai,COD,Delivered,5,49
54,4312,2023-03-27,Hyderabad,Net Banking,Delivered,10,0
55,2981,2024-06-07,Bengaluru,Net Banking,Delivered,10,0
56,1520,2023-11-04,Indore,Card,Delivered,20,79
57,1417,2025-11-08,Pune,Card,Delivered,5,79
58,210,2023-10-18,Bengaluru,COD,Delivered,0,99
59,4133,2023-05-17,Jaipur,COD,Delivered,10,79
60,2009,2024-03-02,Ahmedabad,UPI,Delivered,0,49
61,951,2024-11-29,Ahmedabad,COD,Delivered,5,49
62,3157,2025-02-25,Lucknow,Net Banking,Delivered,15,49
63,3520,2025-01-29,Indore,Net Banking,Delivered,0,49
64,3991,2025-01-29,Jaipur,UPI,Delivered,10,99
65,2259,2025-08-14,Indore,COD,Delivered,5,0
66,1989,2023-01-17,Mumbai,Card,Delivered,15,49
67,1223,2025-07-22,Chandigarh,Net Banking,Delivered,0,0
68,489,2023-09-20,Ahmedabad,Card,Delivered,15,99
69,4275,2023-05-06,Hyderabad,UPI,Delivered,0,99
70,3320,2023-04-09,Chandigarh,Card,Delivered,5,79
71,674,2024-08-17,Lucknow,UPI,Delivered,15,49
72,3027,2025-09-17,Bengaluru,UPI,Delivered,15,99
73,4468,2025-08-30,Lucknow,Net Banking,Delivered,0,99
74,1020,2025-03-27,Jaipur,COD,Delivered,15,99
75,1676,2025-02-12,Ahmedabad,Card,Delivered,20,49
76,4597,2023-02-05,Indore,Card,Delivered,20,79
77,1701,2023-10-11,Jaipur,Card,Delivered,15,79
78,2661,2024-01-09,Jaipur,UPI,Delivered,5,0
79,1752,2023-01-28,Ahmedabad,Net Banking,Delivered,15,0
80,2590,2024-05-13,Pune,UPI,Delivered,15,0
81,976,2023-08-23,Pune,UPI,Delivered,0,79
82,3864,2023-05-22,Ahmedabad,COD,Delivered,15,49
83,1327,2025-10-29,Mumbai,COD,Delivered,0,49
84,950,2024-03-03,Bengaluru,Net Banking,Delivered,10,99
85,127,2024-03-27,Chandigarh,Card,Delivered,10,79
86,3461,2024-01-18,Chandigarh,COD,Delivered,0,79
87,2444,2024-05-31,Mumbai,COD,Delivered,15,49
88,566,2024-05-06,Lucknow,Card,Delivered,5,0
89,3735,2023-10-12,Pune,Net Banking,Delivered,15,99
90,1587,2023-10-18,Chandigarh,Net Banking,Delivered,10,99
91,1812,2025-10-17,Delhi,UPI,Delivered,5,79
92,1061,2023-10-17,Chandigarh,UPI,Delivered,0,99
93,4308,2025-02-11,Hyderabad,UPI,Delivered,0,79
94,1681,2024-07-27,Chandigarh,COD,Delivered,5,49
95,4196,2024-02-20,Hyderabad,Card,Delivered,0,49
96,2144,2024-03-20,Hyderabad,UPI,Delivered,15,49
97,3310,2023-04-27,Chandigarh,Card,Delivered,0,0
98,286,2025-06-27,Chandigarh,UPI,Delivered,20,0
99,3867,2023-12-22,Ahmedabad,Net Banking,Delivered,20,49
100,3340,2024-01-04,Bengaluru,Card,Delivered,20,0
101,2957,2024-03-27,Pune,COD,Delivered,15,99
102,2307,2025-05-05,Chandigarh,UPI,Delivered,15,49
103,36,2025-05-28,Chandigarh,Net Banking,Delivered,20,0
104,4711,2024-06-09,Pune,Net Banking,Delivered,15,0
105,3969,2023-03-16,Indore,Card,Delivered,10,49
106,4522,2025-06-05,Bengaluru,COD,Delivered,15,49
107,3427,2023-07-13,Ahmedabad,Net Banking,Delivered,20,0
108,4617,2025-05-14,Chandigarh,COD,Delivered,20,49
109,1064,2023-02-28,Hyderabad,COD,Delivered,0,99
110,3212,2023-07-21,Pune,COD,Delivered,20,99
111,2634,2025-12-23,Pune,COD,Delivered,20,49
112,2378,2025-12-13,Jaipur,UPI,Delivered,10,0
113,2105,2023-11-27,Delhi,Card,Delivered,15,99
114,2624,2025-06-04,Jaipur,UPI,Delivered,15,99
115,4792,2025-07-05,Hyderabad,COD,Delivered,15,0
116,4850,2023-01-02,Indore,Card,Delivered,15,79
117,2109,2023-08-06,Pune,Net Banking,Delivered,5,79
118,2681,2023-11-08,Lucknow,COD,Delivered,15,79
119,4463,2024-01-20,Pune,UPI,Delivered,20,79
120,1039,2024-08-18,Indore,UPI,Delivered,0,99
121,1755,2024-01-21,Lucknow,Card,Delivered,20,0
122,2792,2023-07-10,Pune,UPI,Delivered,20,99
123,703,2025-05-27,Jaipur,Net Banking,Delivered,0,0
124,1687,2024-01-12,Pune,Card,Delivered,10,79
125,1963,2024-12-16,Pune,Card,Delivered,15,0
126,855,2024-02-06,Bengaluru,UPI,Delivered,0,0
127,548,2023-01-28,Indore,UPI,Delivered,0,99
128,2716,2023-02-17,Delhi,Card,Delivered,15,79
129,4234,2024-04-10,Ahmedabad,Card,Delivered,5,99
130,1181,2023-02-02,Bengaluru,UPI,Delivered,15,49
131,2092,2024-02-05,Indore,Net Banking,Delivered,0,49
132,336,2025-05-17,Jaipur,COD,Delivered,5,79
133,286,2024-08-13,Chandigarh,COD,Delivered,0,79
134,1658,2024-09-16,Hyderabad,COD,Delivered,15,79
135,1020,2025-02-18,Jaipur,Card,Delivered,20,99
136,4689,2024-06-02,Mumbai,Net Banking,Delivered,10,49
137,4101,2024-07-28,Chandigarh,COD,Delivered,15,99
138,2384,2024-07-02,Chandigarh,Net Banking,Delivered,20,49
139,2960,2024-12-24,Mumbai,Card,Delivered,20,99
140,4728,2025-06-08,Chandigarh,Net Banking,Delivered,15,79
141,601,2023-03-02,Indore,Net Banking,Delivered,15,99
142,3189,2024-08-18,Chandigarh,COD,Delivered,5,49
143,2752,2024-05-30,Pune,COD,Delivered,10,49
144,2885,2023-03-06,Ahmedabad,Net Banking,Delivered,10,0
145,214,2023-03-07,Ahmedabad,Net Banking,Delivered,20,49
146,1180,2023-01-17,Chandigarh,Card,Delivered,0,99
147,3660,2024-02-06,Bengaluru,COD,Delivered,20,0
148,3202,2025-09-30,Delhi,Net Banking,Delivered,5,79
149,3667,2023-01-10,Delhi,UPI,Delivered,5,0
150,164,2024-12-20,Lucknow,UPI,Delivered,0,79
151,176,2023-01-10,Hyderabad,UPI,Delivered,10,79
152,1566,2024-09-30,Delhi,Card,Delivered,5,79
153,2563,2025-08-08,Lucknow,Card,Delivered,20,79
154,4393,2024-11-08,Pune,UPI,Delivered,5,0
155,2027,2024-05-04,Jaipur,Net Banking,Delivered,10,0
156,3268,2025-01-03,Bengaluru,Net Banking,Delivered,5,99
157,722,2025-06-08,Mumbai,Net Banking,Delivered,15,49
158,2215,2023-04-15,Chandigarh,COD,Delivered,20,79
159,1126,2024-01-30,Ahmedabad,Net Banking,Delivered,20,79
160,231,2024-06-15,Chandigarh,UPI,Delivered,15,0
161,3191,2023-06-10,Bengaluru,Net Banking,Delivered,15,79
162,2259,2024-03-26,Indore,COD,Delivered,15,0
163,3746,2024-01-17,Delhi,COD,Delivered,20,0
164,2721,2025-06-24,Jaipur,UPI,Delivered,10,99
165,4110,2024-10-12,Mumbai,COD,Delivered,15,79
166,2243,2025-05-21,Jaipur,Card,Delivered,10,0
167,1313,2024-06-11,Jaipur,COD,Delivered,20,0
168,217,2023-05-02,Indore,UPI,Delivered,15,49
169,4382,2024-04-26,Lucknow,UPI,Delivered,20,79
170,1140,2023-05-02,Hyderabad,UPI,Delivered,10,79
171,4401,2023-10-20,Mumbai,COD,Delivered,5,99
172,1506,2023-07-24,Ahmedabad,Net Banking,Delivered,5,49
173,3538,2025-12-22,Hyderabad,Net Banking,Delivered,0,79
174,4763,2024-08-20,Pune,Card,Delivered,5,0
175,4218,2025-03-31,Pune,UPI,Delivered,10,79
176,1605,2024-05-01,Delhi,Net Banking,Delivered,0,49
177,2371,2025-01-10,Hyderabad,COD,Delivered,10,99
178,2269,2023-05-11,Hyderabad,Net Banking,Delivered,0,79
179,1931,2024-06-13,Delhi,Card,Delivered,5,0
180,1570,2025-02-01,Indore,UPI,Delivered,5,0
181,2054,2025-09-17,Ahmedabad,UPI,Delivered,15,0
182,331,2023-10-29,Lucknow,COD,Delivered,20,0
183,19,2023-05-12,Hyderabad,Card,Delivered,15,49
184,1,2023-06-20,Jaipur,Card,Delivered,0,99
185,1030,2024-05-19,Mumbai,Net Banking,Delivered,15,0
186,4008,2025-08-01,Mumbai,UPI,Delivered,15,99
187,2824,2023-10-08,Bengaluru,COD,Delivered,20,99
188,3675,2024-08-21,Lucknow,Net Banking,Delivered,10,0
189,2393,2024-06-04,Hyderabad,UPI,Delivered,10,79
190,4677,2023-01-13,Chandigarh,Card,Delivered,5,99
191,2392,2023-03-12,Chandigarh,Net Banking,Delivered,5,79
192,1609,2024-10-09,Lucknow,COD,Delivered,20,99
193,935,2023-04-08,Chandigarh,Card,Delivered,10,0
194,2903,2025-07-29,Delhi,UPI,Delivered,10,79
195,4650,2024-05-06,Pune,UPI,Delivered,15,0
196,4043,2023-09-28,Ahmedabad,UPI,Delivered,15,49
197,96,2023-07-25,Lucknow,Net Banking,Delivered,5,49
198,3597,2024-09-27,Lucknow,UPI,Delivered,5,49
199,4267,2023-12-13,Bengaluru,Card,Delivered,10,49
200,3912,2024-02-08,Pune,UPI,Delivered,0,99
201,3809,2025-04-30,Hyderabad,UPI,Delivered,0,49
202,2895,2025-02-18,Chandigarh,COD,Delivered,20,0
203,1104,2024-09-19,Hyderabad,COD,Delivered,15,99
204,2219,2023-03-29,Jaipur,Card,Delivered,0,79
205,3343,2023-07-24,Mumbai,UPI,Delivered,0,99
206,4342,2024-05-09,Bengaluru,UPI,Delivered,10,79
207,3611,2024-10-18,Hyderabad,Card,Delivered,0,49
208,390,2025-01-30,Chandigarh,UPI,Delivered,0,0
209,2877,2025-01-10,Lucknow,COD,Delivered,10,79
210,2589,2025-03-20,Pune,COD,Delivered,10,79
211,4718,2024-01-17,Hyderabad,COD,Delivered,15,99
212,4342,2025-06-18,Bengaluru,COD,Delivered,15,0
213,972,2024-05-07,Hyderabad,COD,Delivered,20,79
214,3762,2025-04-02,Hyderabad,Card,Delivered,15,99
215,4739,2025-01-14,Pune,COD,Delivered,15,49
216,707,2025-12-10,Jaipur,UPI,Delivered,15,79
217,2143,2023-10-14,Hyderabad,COD,Delivered,5,79
218,442,2024-08-31,Mumbai,Card,Delivered,15,99
219,4454,2024-03-23,Pune,UPI,Delivered,0,79
220,3128,2025-05-02,Hyderabad,Card,Delivered,0,79
221,2773,2024-01-16,Chandigarh,UPI,Delivered,10,49
222,2684,2025-05-13,Pune,Net Banking,Delivered,5,99
223,1601,2025-03-06,Lucknow,COD,Delivered,10,99
224,4470,2024-03-19,Lucknow,UPI,Delivered,15,49
225,3030,2024-03-26,Delhi,COD,Delivered,15,49
226,3058,2024-12-06,Jaipur,Card,Delivered,20,49
227,4829,2023-12-10,Jaipur,COD,Delivered,15,0
228,1395,2024-07-27,Bengaluru,Net Banking,Delivered,0,0
229,95,2023-10-25,Jaipur,UPI,Delivered,20,0
230,1339,2025-11-17,Pune,COD,Delivered,5,79
231,4678,2024-01-30,Pune,UPI,Delivered,0,0
232,3662,2025-03-31,Ahmedabad,Net Banking,Delivered,0,99
233,2943,2025-12-02,Ahmedabad,Net Banking,Delivered,10,99
234,2953,2023-04-27,Pune,Card,Delivered,10,49
235,2533,2023-09-12,Ahmedabad,COD,Delivered,0,79
236,94,2025-11-24,Mumbai,UPI,Delivered,0,0
237,3002,2024-03-08,Indore,Card,Delivered,10,99
238,4649,2024-02-14,Bengaluru,COD,Delivered,0,49
239,2775,2023-12-31,Chandigarh,COD,Delivered,15,0
240,4807,2024-03-22,Chandigarh,UPI,Delivered,15,0
241,2452,2023-04-20,Chandigarh,UPI,Delivered,15,49
242,3807,2023-01-27,Hyderabad,COD,Delivered,15,0
243,3281,2023-12-18,Lucknow,Card,Delivered,0,99
244,1475,2024-05-10,Ahmedabad,Net Banking,Delivered,0,99
245,1347,2023-04-03,Jaipur,Card,Delivered,10,0
246,1185,2025-01-01,Indore,Net Banking,Delivered,10,79
247,4886,2025-05-12,Chandigarh,Card,Delivered,5,0
248,3980,2024-03-22,Indore,Card,Delivered,20,49
249,1753,2025-06-15,Lucknow,Card,Delivered,10,0
250,1537,2024-06-04,Lucknow,Card,Delivered,15,99
251,4682,2024-01-09,Delhi,UPI,Delivered,5,99
252,414,2025-03-20,Bengaluru,Net Banking,Delivered,5,79
253,2876,2024-05-30,Lucknow,UPI,Delivered,10,49
254,4226,2023-04-18,Delhi,UPI,Delivered,20,49
255,4987,2025-12-03,Lucknow,COD,Delivered,10,0
256,1407,2025-08-09,Bengaluru,UPI,Delivered,5,79
257,132,2023-12-27,Pune,COD,Delivered,0,99
258,3146,2023-07-10,Bengaluru,UPI,Delivered,15,99
259,3882,2024-03-17,Pune,Card,Delivered,20,99
260,4769,2025-09-06,Delhi,COD,Delivered,5,0
261,4339,2023-01-23,Lucknow,Card,Delivered,5,79
262,945,2024-07-07,Delhi,UPI,Delivered,0,49
263,2972,2024-01-14,Mumbai,Net Banking,Delivered,5,99
264,3672,2023-07-24,Chandigarh,Net Banking,Delivered,10,79
265,2977,2024-07-08,Indore,Card,Delivered,5,0
266,105,2023-01-15,Indore,COD,Delivered,20,79
267,2357,2023-07-06,Lucknow,UPI,Delivered,0,99
268,1897,2023-01-17,Jaipur,UPI,Delivered,20,79
269,4899,2024-01-30,Lucknow,Card,Delivered,20,0
270,2428,2024-09-29,Chandigarh,Net Banking,Delivered,5,79
271,3827,2023-04-25,Pune,COD,Delivered,20,49
272,946,2023-05-25,Lucknow,Net Banking,Delivered,0,49
273,2771,2024-07-01,Mumbai,UPI,Delivered,5,49
274,2164,2025-02-21,Delhi,COD,Delivered,15,99
275,2784,2024-12-11,Jaipur,COD,Delivered,5,49
276,2049,2024-05-27,Jaipur,Card,Delivered,0,0
277,3676,2024-04-17,Delhi,Net Banking,Delivered,10,49
278,4627,2023-01-05,Chandigarh,Card,Delivered,15,99
279,142,2025-04-19,Indore,Net Banking,Delivered,5,49
280,3733,2024-04-16,Mumbai,Card,Delivered,5,79
281,3787,2025-12-14,Indore,Net Banking,Delivered,15,99
282,1345,2025-01-11,Hyderabad,Net Banking,Delivered,10,49
283,1835,2023-12-28,Jaipur,Net Banking,Delivered,15,49
284,4180,2024-07-04,Jaipur,UPI,Delivered,5,79
285,4505,2025-12-07,Mumbai,Net Banking,Delivered,20,79
286,2830,2024-05-24,Ahmedabad,COD,Delivered,20,99
287,1203,2024-10-22,Jaipur,COD,Delivered,20,0
288,4632,2024-06-13,Pune,Card,Delivered,15,0
289,3528,2024-11-27,Indore,COD,Delivered,10,49
290,1810,2024-08-06,Jaipur,COD,Delivered,20,99
291,1667,2024-06-12,Mumbai,COD,Delivered,15,0
292,2134,2023-02-15,Bengaluru,UPI,Delivered,15,0
293,2212,2023-06-18,Pune,Card,Delivered,0,0
294,908,2023-07-30,Lucknow,COD,Delivered,10,99
295,1202,2024-10-29,Bengaluru,UPI,Delivered,0,79
296,3657,2023-02-10,Jaipur,COD,Delivered,0,99
297,3919,2024-01-06,Indore,Card,Delivered,5,79
298,4897,2025-06-09,Indore,UPI,Delivered,20,79
299,4248,2024-11-17,Hyderabad,Card,Delivered,15,99
300,2187,2023-04-04,Ahmedabad,Card,Delivered,5,79
301,3928,2023-12-10,Ahmedabad,UPI,Delivered,10,99
302,4436,2024-11-07,Indore,Net Banking,Delivered,0,49
303,4150,2023-12-20,Pune,UPI,Delivered,15,79
304,3831,2024-08-11,Jaipur,COD,Delivered,20,49
305,3164,2024-02-06,Delhi,Card,Delivered,10,79
306,883,2023-06-23,Ahmedabad,Card,Delivered,0,0
307,2639,2025-02-11,Ahmedabad,UPI,Delivered,20,79
308,4088,2024-08-25,Pune,Card,Delivered,20,79
309,4527,2025-12-09,Chandigarh,UPI,Delivered,15,99
310,551,2024-11-01,Lucknow,UPI,Delivered,15,49
311,4662,2025-05-15,Hyderabad,Net Banking,Delivered,5,79
312,2306,2024-06-12,Pune,Card,Delivered,15,99
313,3364,2023-05-28,Mumbai,Card,Delivered,5,49
314,4638,2025-05-13,Delhi,UPI,Delivered,0,99
315,3525,2025-07-03,Hyderabad,Net Banking,Delivered,10,79
316,3893,2023-12-21,Pune,COD,Delivered,15,49
317,3293,2025-06-29,Chandigarh,UPI,Delivered,20,79
318,4907,2025-09-27,Jaipur,COD,Delivered,15,79
319,2167,2024-08-10,Mumbai,Net Banking,Delivered,5,79
320,901,2024-12-26,Bengaluru,COD,Delivered,5,99
321,2567,2025-09-02,Delhi,COD,Delivered,15,99
322,2441,2024-06-27,Chandigarh,COD,Delivered,5,0
323,2424,2023-06-14,Bengaluru,Net Banking,Delivered,10,99
324,228,2023-06-30,Pune,COD,Delivered,0,79
325,2515,2024-03-01,Mumbai,UPI,Delivered,0,0
326,1533,2024-07-22,Pune,Net Banking,Delivered,0,99
327,4939,2025-11-02,Pune,Net Banking,Delivered,5,49
328,3722,2025-12-11,Hyderabad,Net Banking,Delivered,10,99
329,1356,2024-01-05,Hyderabad,COD,Delivered,5,49
330,2794,2023-01-28,Lucknow,COD,Delivered,0,79
331,562,2023-06-11,Chandigarh,Card,Delivered,0,0
332,4733,2025-01-10,Delhi,UPI,Delivered,15,0
333,811,2025-03-28,Mumbai,UPI,Delivered,10,0
334,2764,2025-10-25,Ahmedabad,Net Banking,Delivered,5,99
335,4078,2024-09-30,Bengaluru,COD,Delivered,10,99
336,3239,2025-04-16,Hyderabad,UPI,Delivered,20,99
337,4293,2025-04-22,Ahmedabad,Card,Delivered,15,99
338,2102,2025-02-02,Mumbai,COD,Delivered,5,79
339,4499,2025-02-06,Delhi,Net Banking,Delivered,0,0
340,4068,2024-04-19,Bengaluru,Card,Delivered,0,49
341,2819,2023-02-05,Pune,COD,Delivered,10,79
342,1711,2025-05-14,Jaipur,UPI,Delivered,5,49
343,2494,2023-05-18,Ahmedabad,COD,Delivered,5,0
344,2690,2025-09-19,Ahmedabad,Card,Delivered,10,99
345,1076,2023-07-04,Chandigarh,Net Banking,Delivered,10,99
346,1631,2025-07-21,Mumbai,Card,Delivered,10,79
347,2308,2024-11-01,Bengaluru,Net Banking,Delivered,20,79
348,300,2023-12-07,Lucknow,Card,Delivered,5,99
349,1163,2025-04-12,Hyderabad,COD,Delivered,15,79
350,234,2024-02-22,Lucknow,Net Banking,Delivered,0,49
351,3152,2024-01-20,Indore,Net Banking,Delivered,0,49
352,1341,2025-05-06,Bengaluru,Net Banking,Delivered,10,0
353,199,2025-12-15,Ahmedabad,Card,Delivered,20,79
354,881,2024-11-02,Ahmedabad,Net Banking,Delivered,10,0
355,4196,2025-02-07,Hyderabad,UPI,Delivered,10,79
356,118,2023-12-31,Hyderabad,UPI,Delivered,5,49
357,2717,2023-07-07,Bengaluru,UPI,Delivered,20,0
358,4745,2023-05-14,Jaipur,Card,Delivered,10,99
359,453,2023-12-21,Hyderabad,UPI,Delivered,10,49
360,1718,2025-08-06,Jaipur,UPI,Delivered,5,0
361,898,2025-11-20,Indore,COD,Delivered,10,49
362,3199,2023-07-05,Mumbai,COD,Delivered,0,79
363,3420,2024-05-25,Ahmedabad,Net Banking,Delivered,0,79
364,3875,2023-05-09,Delhi,UPI,Delivered,10,49
365,1073,2024-09-21,Mumbai,COD,Delivered,10,0
366,1990,2023-07-24,Chandigarh,Net Banking,Delivered,0,99
367,3051,2024-10-02,Ahmedabad,COD,Delivered,10,99
368,3215,2024-09-17,Lucknow,UPI,Delivered,10,79
369,1146,2023-07-21,Pune,Net Banking,Delivered,5,99
370,2583,2025-05-03,Mumbai,UPI,Delivered,10,0
371,1948,2023-08-03,Mumbai,UPI,Delivered,15,99
372,1619,2025-12-14,Hyderabad,Net Banking,Delivered,5,49
373,1059,2023-09-10,Bengaluru,COD,Delivered,15,49
374,3329,2023-06-21,Ahmedabad,COD,Delivered,15,79
375,653,2025-02-19,Pune,Card,Delivered,20,99
376,741,2024-02-01,Indore,UPI,Delivered,10,99
377,1913,2024-04-16,Pune,COD,Delivered,5,79
378,3602,2025-07-22,Jaipur,Card,Delivered,0,49
379,3270,2023-04-06,Indore,Net Banking,Delivered,15,79
380,353,2024-06-04,Ahmedabad,UPI,Delivered,5,99
381,3434,2024-12-17,Lucknow,Net Banking,Delivered,0,79
382,3434,2023-04-02,Lucknow,Card,Delivered,10,0
383,2741,2025-02-17,Mumbai,UPI,Delivered,0,79
384,2352,2024-06-20,Chandigarh,Net Banking,Delivered,0,99
385,3589,2025-07-12,Hyderabad,UPI,Delivered,15,79
386,3838,2023-06-20,Chandigarh,COD,Delivered,20,79
387,1941,2024-02-23,Delhi,COD,Delivered,0,0
388,2900,2025-06-02,Hyderabad,COD,Delivered,5,49
389,988,2025-02-19,Indore,Card,Delivered,10,99
390,3706,2025-03-08,Ahmedabad,Card,Delivered,0,99
391,4489,2023-02-17,Bengaluru,Card,Delivered,0,0
392,1769,2025-09-14,Hyderabad,COD,Delivered,20,79
393,1239,2023-02-01,Lucknow,Card,Delivered,5,0
394,182,2024-06-09,Delhi,Card,Delivered,20,79
395,4596,2024-08-16,Lucknow,UPI,Delivered,10,0
396,3409,2023-04-08,Delhi,Net Banking,Delivered,10,49
397,4942,2024-05-05,Lucknow,UPI,Delivered,20,79
398,806,2023-04-26,Lucknow,Card,Delivered,20,79
399,3304,2025-03-17,Ahmedabad,Net Banking,Delivered,15,0
400,1410,2025-12-18,Lucknow,COD,Delivered,15,79
401,4959,2023-12-08,Jaipur,Card,Delivered,10,49
402,1405,2023-01-04,Ahmedabad,Card,Delivered,0,49
403,3892,2024-03-05,Bengaluru,Net Banking,Delivered,0,99
404,4758,2024-09-02,Indore,COD,Delivered,15,99
405,3105,2025-03-28,Chandigarh,Card,Delivered,10,79
406,312,2024-07-28,Pune,COD,Delivered,20,79
407,2378,2024-04-18,Jaipur,UPI,Delivered,10,49
408,2,2024-11-06,Mumbai,COD,Delivered,20,49
409,2531,2025-07-25,Bengaluru,UPI,Delivered,10,0
410,3317,2025-03-01,Indore,COD,Delivered,5,99
411,4708,2023-08-30,Jaipur,COD,Delivered,20,99
412,2335,2024-07-03,Bengaluru,Net Banking,Delivered,20,99
413,2662,2025-06-11,Hyderabad,COD,Delivered,10,0
414,478,2025-05-24,Delhi,UPI,Delivered,5,0
415,4062,2025-10-29,Ahmedabad,UPI,Delivered,5,0
416,2809,2023-06-25,Lucknow,Card,Delivered,10,99
417,1713,2023-10-24,Chandigarh,Card,Delivered,5,79
418,231,2023-12-09,Chandigarh,COD,Delivered,15,99
419,1130,2025-11-30,Delhi,UPI,Delivered,10,99
420,1674,2025-11-02,Ahmedabad,UPI,Delivered,0,79
421,4969,2024-09-06,Chandigarh,UPI,Delivered,20,0
422,1815,2024-05-10,Bengaluru,COD,Delivered,10,99
423,230,2024-10-30,Ahmedabad,COD,Delivered,10,79
424,984,2024-05-16,Lucknow,COD,Delivered,20,49
425,3782,2025-06-14,Ahmedabad,COD,Delivered,15,79
426,2672,2023-10-06,Ahmedabad,Card,Delivered,0,79
427,2599,2023-05-09,Jaipur,Net Banking,Delivered,0,49
428,3327,2023-11-11,Ahmedabad,UPI,Delivered,20,79
429,88,2025-01-01,Delhi,Card,Delivered,10,49
430,3664,2025-10-15,Delhi,Net Banking,Delivered,15,79
431,466,2025-03-02,Delhi,Net Banking,Delivered,5,99
432,4210,2025-01-29,Ahmedabad,Net Banking,Delivered,15,99
433,2567,2023-01-06,Delhi,COD,Delivered,15,0
434,2968,2023-07-24,Chandigarh,COD,Delivered,20,0
435,1974,2023-05-21,Jaipur,Net Banking,Delivered,5,79
436,902,2023-12-05,Lucknow,UPI,Delivered,10,49
437,971,2023-12-31,Bengaluru,Net Banking,Delivered,20,49
438,1891,2025-06-20,Bengaluru,Net Banking,Delivered,15,99
439,166,2023-03-17,Jaipur,Net Banking,Delivered,15,0
440,4399,2024-06-23,Bengaluru,Card,Delivered,5,79
441,2029,2025-10-05,Jaipur,COD,Delivered,0,79
442,2880,2023-01-06,Lucknow,UPI,Delivered,20,79
443,423,2024-05-08,Pune,Net Banking,Delivered,10,0
444,2484,2025-08-07,Mumbai,UPI,Delivered,15,0
445,2101,2024-11-13,Bengaluru,COD,Delivered,10,99
446,3925,2024-06-22,Bengaluru,Net Banking,Delivered,5,0
447,616,2023-12-21,Chandigarh,COD,Delivered,10,79
448,3631,2023-08-01,Pune,Net Banking,Delivered,5,79
449,209,2024-09-24,Chandigarh,Net Banking,Delivered,0,99
450,4965,2024-10-05,Ahmedabad,Card,Delivered,5,49
451,3359,2023-02-06,Delhi,COD,Delivered,20,79
452,3200,2025-01-11,Bengaluru,COD,Delivered,20,0
